,NAME,RATING,REVIEWS,COMPANY TYPE,COMPANY LOCATION,OLD
9206,Tata Motors,4.2,(9k Reviews),Public,"Pune,Maharashtra + 394 more",78 years old
9207,Flipkart,4.2,(7.6k Reviews),Public,"Bangalore,Karnataka + 468 more",16 years old
9208,WNS,3.7,(7.3k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old
9209,IndusInd Bank,3.8,(7.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 584 more",29 years old
9210,TCS,3.9,(53.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",55 years old
9211,Accenture,4.1,(34.5k Reviews),Public,Dublin + 134 more,34 years old
9212,Cognizant,3.9,(31.6k Reviews),Private,Teaneck. New Jersey. + 103 more,29 years old
9213,ICICI Bank,4.1,(25.8k Reviews),Public,"Mumbai,Maharashtra + 1090 more",29 years old
9214,HDFC Bank,4.0,(25k Reviews),Public,"Mumbai,Maharashtra + 1308 more",29 years old
9215,Wipro,3.9,(24.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",78 years old
9216,Infosys,3.9,(23.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old
9217,Capgemini,3.9,(21.7k Reviews),Public,Paris + 77 more,56 years old
9218,Tech Mahindra,3.7,(20.5k Reviews),Public,"Pune,Maharashtra + 214 more",37 years old
9219,Genpact,4.0,(19.8k Reviews),Public,"New York,New York + 70 more",26 years old
9220,HCLTech,3.8,(19k Reviews),Public,"Noida,Uttar Pradesh + 144 more",32 years old
9221,Amazon,4.2,(18.4k Reviews),Public,"Seattle,Washington + 388 more",29 years old
9222,Axis Bank,3.9,(17k Reviews),Public,"Mumbai,Maharashtra + 1136 more",30 years old
9223,IBM,4.1,(15.9k Reviews),Public,"Armonk,New York + 121 more",112 years old
9224,Concentrix Corpo...,4.0,(15.9k Reviews),Public,"Fremont,California + 73 more",40 years old
9225,Reliance Jio,4.1,(15.6k Reviews),Public,"Navi Mumbai,Maharashtra + 1032 more",16 years old
9226,Larsen & Toubro ...,4.0,(15k Reviews),Public,"Mumbai,Maharashtra + 533 more",77 years old
9227,HDB Financial Se...,4.0,(14.1k Reviews),Private,"Ahmedabad,Gujrat + 819 more",16 years old
9228,Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 581 more",5 years old
9229,Teleperformance,3.6,(12.3k Reviews),Private,Paris + 125 more,45 years old
9230,Reliance Retail,4.2,(11.5k Reviews),Private,"Navi Mumbai,Maharashtra + 756 more",17 years old
9231,Kotak Mahindra B...,3.9,(10.7k Reviews),Public,"Mumbai,Maharashtra + 484 more",20 years old
9232,Deloitte,4.1,(10.1k Reviews),Private,"New York,New York + 132 more",178 years old
9233,Reliance Industr...,4.1,(10k Reviews),Public,"Navi Mumbai,Maharashtra + 511 more",50 years old
9234,BYJU'S,3.3,(9.7k Reviews),Private,"Bangalore,Karnataka + 267 more",12 years old
9235,Bharti Airtel,4.1,(9.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 541 more",28 years old
9236,Tata Motors,4.2,(9k Reviews),Public,"Pune,Maharashtra + 394 more",78 years old
9237,Flipkart,4.2,(7.6k Reviews),Public,"Bangalore,Karnataka + 468 more",16 years old
9238,WNS,3.7,(7.3k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old
9239,IndusInd Bank,3.8,(7.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 584 more",29 years old
9240,TCS,3.9,(53.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",55 years old
9241,Accenture,4.1,(34.5k Reviews),Public,Dublin + 134 more,34 years old
9242,Cognizant,3.9,(31.6k Reviews),Private,Teaneck. New Jersey. + 103 more,29 years old
9243,ICICI Bank,4.1,(25.8k Reviews),Public,"Mumbai,Maharashtra + 1090 more",29 years old
9244,HDFC Bank,4.0,(25k Reviews),Public,"Mumbai,Maharashtra + 1308 more",29 years old
9245,Wipro,3.9,(24.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",78 years old
9246,Infosys,3.9,(23.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old
9247,Capgemini,3.9,(21.7k Reviews),Public,Paris + 77 more,56 years old
9248,Tech Mahindra,3.7,(20.5k Reviews),Public,"Pune,Maharashtra + 214 more",37 years old
9249,Genpact,4.0,(19.8k Reviews),Public,"New York,New York + 70 more",26 years old
9250,HCLTech,3.8,(19k Reviews),Public,"Noida,Uttar Pradesh + 144 more",32 years old
9251,Amazon,4.2,(18.4k Reviews),Public,"Seattle,Washington + 388 more",29 years old
9252,Axis Bank,3.9,(17k Reviews),Public,"Mumbai,Maharashtra + 1136 more",30 years old
9253,IBM,4.1,(15.9k Reviews),Public,"Armonk,New York + 121 more",112 years old
9254,Concentrix Corpo...,4.0,(15.9k Reviews),Public,"Fremont,California + 73 more",40 years old
9255,Reliance Jio,4.1,(15.6k Reviews),Public,"Navi Mumbai,Maharashtra + 1032 more",16 years old
9256,Larsen & Toubro ...,4.0,(15k Reviews),Public,"Mumbai,Maharashtra + 533 more",77 years old
9257,HDB Financial Se...,4.0,(14.1k Reviews),Private,"Ahmedabad,Gujrat + 819 more",16 years old
9258,Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 581 more",5 years old
9259,Teleperformance,3.6,(12.3k Reviews),Private,Paris + 125 more,45 years old
9260,Reliance Retail,4.2,(11.5k Reviews),Private,"Navi Mumbai,Maharashtra + 756 more",17 years old
9261,Kotak Mahindra B...,3.9,(10.7k Reviews),Public,"Mumbai,Maharashtra + 484 more",20 years old
9262,Deloitte,4.1,(10.1k Reviews),Private,"New York,New York + 132 more",178 years old
9263,Reliance Industr...,4.1,(10k Reviews),Public,"Navi Mumbai,Maharashtra + 511 more",50 years old
9264,BYJU'S,3.3,(9.7k Reviews),Private,"Bangalore,Karnataka + 267 more",12 years old
9265,Bharti Airtel,4.1,(9.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 541 more",28 years old
9266,Tata Motors,4.2,(9k Reviews),Public,"Pune,Maharashtra + 394 more",78 years old
9267,Flipkart,4.2,(7.6k Reviews),Public,"Bangalore,Karnataka + 468 more",16 years old
9268,WNS,3.7,(7.3k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old
9269,IndusInd Bank,3.8,(7.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 584 more",29 years old
